lat,lng,speedLimit,heading,type
34.408941,126.194231,50,-1,0
34.411835,126.272609,60,-1,0
34.413569,126.520929,60,-1,0
34.417327,126.808885,60,-1,0
34.421547,126.335597,60,-1,0
34.422464,126.166822,30,-1,0
34.422529,126.166891,30,-1,0
34.425522,126.280391,50,-1,0
34.425584,126.167562,50,-1,0
34.427263,127.495206,40,-1,0
34.427972,126.576167,80,-1,0
34.429001,126.5846,30,-1,0
34.429496,126.556012,60,-1,0
34.430085,126.818695,50,-1,0
34.430201,126.642,60,-1,0
34.432271,126.322182,60,-1,0
34.434244,126.822561,60,-1,0
34.434925,126.230495,60,-1,0
34.438795,126.286232,30,-1,0
34.439012,126.285881,30,-1,0
34.439328,126.297355,50,-1,0
34.439704,127.060111,30,-1,0
34.440301,126.280207,30,-1,0
34.44042,127.05981,30,-1,0
34.441096,126.282225,50,-1,0
34.442814,126.501075,60,-1,0
34.443938,126.490225,60,-1,0
34.445248,126.198834,60,-1,0
34.447012,126.177344,60,-1,0
34.447782,126.177836,60,-1,0
34.450624,126.485731,50,-1,0
34.45184,127.48755,60,-1,0
34.455421,126.811862,30,-1,0
34.455556,126.811806,30,-1,0
34.457033,126.816097,50,-1,0
34.45882,126.856562,50,-1,0
34.458901,126.5536,30,-1,0
34.459624,126.85879,50,-1,0
34.460523,126.277437,60,-1,0
34.461536,127.124577,40,-1,0
34.463251,127.128853,40,-1,0
34.463323,127.125642,40,-1,0
34.463959,126.812954,60,-1,0
34.464474,126.358671,60,-1,0
34.466701,126.6772,30,-1,0
34.466734,126.551002,80,-1,0
34.468032,127.464007,30,-1,0
34.468118,126.676169,30,-1,0
34.468863,127.464241,30,-1,0
34.469873,126.244934,50,-1,0
34.469901,126.664439,60,-1,0
34.471108,126.680357,60,-1,0
34.471822,126.268197,60,-1,0
34.474056,126.802556,60,-1,0
34.476931,126.936828,30,-1,0
34.477303,126.881345,60,-1,0
34.477944,126.264083,50,-1,0
34.478069,126.263799,50,-1,0
34.478231,126.263682,50,-1,0
34.478237,126.263926,50,-1,0
34.478612,126.968318,30,-1,0
34.479329,126.882809,60,-1,0
34.479587,126.25533,60,-1,0
34.480108,126.938273,30,-1,0
34.48038,126.93841,30,-1,0
34.483001,126.800333,50,-1,0
34.483079,126.267364,30,-1,0
34.48394,126.244663,60,-1,0
34.485201,126.2653,30,-1,0
34.48547,126.512319,50,-1,0
34.485652,126.274654,30,-1,0
34.485667,126.274854,30,-1,0
34.487972,127.121611,60,-1,0
34.488774,126.237712,60,-1,0
34.490901,126.5149,30,-1,0
34.491704,126.34305,30,-1,0
34.492311,126.799621,30,-1,0
34.492436,126.342395,30,-1,0
34.492556,126.79975,30,-1,0
34.493413,126.644628,60,-1,0
34.497591,126.241004,30,-1,0
34.498114,126.518536,60,-1,0
34.499006,126.890232,30,-1,0
34.499033,126.890286,30,-1,0
34.499156,126.321598,30,-1,0
34.499167,126.710056,30,-1,0
34.499295,126.710426,30,-1,0
34.499353,126.321926,30,-1,0
34.499425,126.317493,30,-1,0
34.499482,126.317129,30,-1,0
34.503019,127.467562,30,-1,0
34.504617,126.917369,60,-1,0
34.504787,127.286589,60,-1,0
34.504795,127.301548,40,-1,0
34.506859,127.276585,60,-1,0
34.50687,126.798116,50,-1,0
34.507039,126.798281,50,-1,0
34.507341,127.274267,60,-1,0
34.508496,127.320296,30,-1,0
34.510587,126.543886,80,-1,0
34.511969,127.457734,60,-1,0
34.513788,126.722272,40,-1,0
34.513854,126.722289,40,-1,0
34.514707,127.320621,40,-1,0
34.515101,126.6088,30,-1,0
34.516193,127.319724,40,-1,0
34.51812,126.596564,30,-1,0
34.522924,127.245115,30,-1,0
34.522977,127.245385,30,-1,0
34.524301,126.792,50,-1,0
34.524601,126.7922,50,-1,0
34.525403,126.792134,60,-1,0
34.525983,127.133616,0,-1,0
34.526151,127.423956,60,-1,0
34.52684,126.953426,30,-1,0
34.527417,126.953639,30,-1,0
34.52765,127.131856,0,-1,0
34.528676,127.136977,0,-1,0
34.528798,127.133846,0,-1,0
34.528997,127.140458,30,-1,0
34.529316,127.140542,30,-1,0
34.529833,127.137345,0,-1,0
34.529864,127.138493,30,-1,0
34.530001,127.1381,30,-1,0
34.530801,127.1383,30,-1,0
34.53609,126.294403,30,-1,0
34.536266,126.794245,60,-1,0
34.536326,126.794147,50,-1,0
34.538349,126.561915,80,-1,0
34.543552,126.610586,60,-1,0
34.54375,127.344944,60,-1,0
34.546501,127.1409,80,-1,0
34.550052,126.727243,30,-1,0
34.550169,126.944217,60,-1,0
34.550528,126.726944,30,-1,0
34.55153,126.804487,60,-1,0
34.551861,126.804487,50,-1,0
34.553219,127.347865,60,-1,0
34.554401,127.3758,60,-1,0
